ClientIP,Country,Provinces,ISP
171.247.46.159,Vietnam,Bien Hoa,Viettel Group
113.185.14.97,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
113.22.53.142,Vietnam,Haiphong,FPT Telecom Company
14.163.156.54,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
42.113.193.98,Vietnam,Hoa Binh,FPT Telecom Company
42.115.138.41,Vietnam,Cao Lanh,FPT Telecom Company
112.197.226.69,Vietnam,Long Xuyen,SaiGon Tourist Cable Television
118.71.112.70,Vietnam,Hanoi,FPT Telecom Company
42.113.114.230,Vietnam,Thu Dau Mot,FPT Telecom Company
103.7.39.153,Vietnam,Ho Chi Minh City,Vietnamobile Telecommunications Joint Stock Company
118.70.171.248,Vietnam,Hanoi,FPT Telecom Company
113.161.210.73,Vietnam,Can Tho,Vietnam Posts and Telecommunications Group
171.240.180.240,Vietnam,Ho Chi Minh City,Viettel Group
113.189.221.229,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.179.130.88,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
113.175.74.94,Vietnam,Thai Binh,Vietnam Posts and Telecommunications Group
118.71.196.192,Vietnam,Thanh Hoa,FPT Telecom Company
42.113.192.87,Vietnam,Hai Duong,FPT Telecom Company
118.71.158.131,Vietnam,Hanoi,FPT Telecom Company
42.113.198.64,Vietnam,Thai Nguyen,FPT Telecom Company
113.170.47.226,Vietnam,Phan Thiet,Vietnam Posts and Telecommunications Group
66.249.82.141,Australia,Sydney,Google LLC
66.249.82.97,Australia,Sydney,Google LLC
58.186.200.92,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.162.17.156,Vietnam,Thai Nguyen,Vietnam Posts and Telecommunications Group
62.216.206.17,Germany,Munchen,M-net Telekommunikations GmbH
42.115.162.123,Vietnam,Hanoi,FPT Telecom Company
103.7.38.122,Vietnam,Can Duoc,Vietnamobile Telecommunications Joint Stock Company
101.13.59.100,Taiwan,Taipei,Taiwan Mobile Co. Ltd.
115.79.143.32,Vietnam,Ho Chi Minh City,Viettel Group
42.118.79.245,Vietnam,Bien Hoa,FPT Telecom Company
42.118.29.86,Vietnam,Bac Giang,FPT Telecom Company
42.112.248.49,Vietnam,Hanoi,FPT Telecom Company
42.113.154.157,Vietnam,Hai Duong,FPT Telecom Company
113.184.88.131,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
14.183.9.150,Vietnam,Ben Cat,Vietnam Posts and Telecommunications Group
79.160.124.6,Norway,Stavanger,Altibox AS
42.113.199.172,Vietnam,Hanoi,FPT Telecom Company
14.228.72.251,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
14.231.36.250,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
118.71.1.228,Vietnam,Hanoi,FPT Telecom Company
113.22.152.102,Vietnam,Hai An,FPT Telecom Company
116.109.151.207,Vietnam,Ho Chi Minh City,Viettel Group
123.27.140.48,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
118.70.116.164,Vietnam,Hanoi,FPT Telecom Company
113.179.153.177,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
113.153.240.167,Japan,Himeji,Kddi Corporation
58.187.21.7,Vietnam,Haiphong,FPT Telecom Company
42.114.22.166,Vietnam,Thu Dau Mot,FPT Telecom Company
58.186.186.83,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.70.25.39,Vietnam,Hanoi,FPT Telecom Company
14.165.130.234,Vietnam,Nha Trang,Vietnam Posts and Telecommunications Group
118.69.149.219,Vietnam,Bien Hoa,FPT Telecom Company
116.107.206.30,Vietnam,Tuyen Quang,Viettel Group
58.187.216.114,Vietnam,Cam Pha Mines,FPT Telecom Company
42.113.198.99,Vietnam,Thai Nguyen,FPT Telecom Company
14.174.130.211,Vietnam,Hue,Vietnam Posts and Telecommunications Group
14.240.71.155,Vietnam,Phan Thiet,Vietnam Posts and Telecommunications Group
113.186.192.1,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
173.252.95.25,United States,Chicago,"Facebook, Inc."
123.23.153.171,Vietnam,Phu Quoc Island,Vietnam Posts and Telecommunications Group
118.70.80.90,Vietnam,Hanoi,FPT Telecom Company
118.68.192.63,Vietnam,Hanoi,FPT Telecom Company
125.138.248.185,South Korea,Seoul,Korea Telecom
14.174.135.232,Vietnam,Hue,Vietnam Posts and Telecommunications Group
66.249.82.69,Australia,Sydney,Google LLC
118.68.61.212,Vietnam,Kon Tum Ko Pang,FPT Telecom Company
14.233.93.235,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.113.173.133,Vietnam,Lang Son,FPT Telecom Company
118.70.54.134,Vietnam,Dien Bien Phu,FPT Telecom Company
123.23.146.156,Vietnam,Phu Quoc Island,Vietnam Posts and Telecommunications Group
1.52.121.30,Vietnam,Haiphong,FPT Telecom Company
14.162.31.96,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
66.249.82.95,Australia,Sydney,Google LLC
58.186.223.9,Vietnam,Bac Giang,FPT Telecom Company
58.187.12.70,Vietnam,Bac Ninh,FPT Telecom Company
42.114.39.116,Vietnam,Nam Dinh,FPT Telecom Company
1.55.199.116,Vietnam,Ho Chi Minh City,FPT Telecom Company
103.199.32.39,Vietnam,Phan Thiet,MOBIFONE Corporation
179.56.78.252,Chile,Temuco,Telefonica del Sur S.A.
42.119.183.155,Vietnam,Hanoi,FPT Telecom Company
123.17.47.83,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.119.43.20,Vietnam,Bac Giang,FPT Telecom Company
42.112.234.58,Vietnam,Haiphong,FPT Telecom Company
66.249.82.111,Australia,Sydney,Google LLC
1.55.137.155,Vietnam,Hanoi,FPT Telecom Company
1.55.175.70,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.71.7.211,Vietnam,Hanoi,FPT Telecom Company
171.239.42.19,Vietnam,Lien Loc,Viettel Group
1.55.227.141,Vietnam,Vinh Yen,FPT Telecom Company
42.117.219.126,Vietnam,Hanoi,FPT Telecom Company
14.170.9.25,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
70.177.131.11,United States,Warner Robins,Cox Communications Inc.
88.191.235.29,France,Paris,Free SAS
113.184.92.1,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
14.228.27.91,Vietnam,Thai Binh,Vietnam Posts and Telecommunications Group
42.114.22.226,Vietnam,Thu Dau Mot,FPT Telecom Company
118.71.185.31,Vietnam,Viet Tri,FPT Telecom Company
123.27.202.129,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
14.189.2.11,Vietnam,Ha Tinh,Vietnam Posts and Telecommunications Group
64.233.173.184,Japan,Tokyo,Google LLC
123.18.101.128,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.112.113.5,Vietnam,Bac Ninh,FPT Telecom Company
113.23.28.38,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.20.101.134,Vietnam,Hanoi,CMC Telecom Infrastructure Company
113.22.70.96,Vietnam,Thu Dau Mot,FPT Telecom Company
113.178.92.120,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.181.247.167,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
42.118.228.30,Vietnam,Ho Chi Minh City,FPT Telecom Company
123.16.25.251,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.176.82.157,Vietnam,Mui Ne,Vietnam Posts and Telecommunications Group
58.186.223.2,Vietnam,Bac Giang,FPT Telecom Company
42.116.79.64,Vietnam,My Tho,FPT Telecom Company
14.239.36.185,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
58.187.171.117,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.113.197.148,Vietnam,Uong Bi,FPT Telecom Company
118.68.61.0,Vietnam,Kon Tum Ko Pang,FPT Telecom Company
118.71.241.112,Vietnam,Thai Nguyen,FPT Telecom Company
14.182.10.17,Vietnam,Uong Bi,Vietnam Posts and Telecommunications Group
42.119.43.200,Vietnam,Bac Giang,FPT Telecom Company
94.21.186.3,Hungary,Szeged,DIGI Tavkozlesi es Szolgaltato Kft.
64.233.173.12,Japan,Tokyo,Google LLC
118.70.54.18,Vietnam,Dien Bien Phu,FPT Telecom Company
123.17.135.139,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
1.55.223.99,Vietnam,Vinh Yen,FPT Telecom Company
58.187.166.207,Vietnam,Uong Bi,FPT Telecom Company
1.55.40.144,Vietnam,Ben Dinh,FPT Telecom Company
115.75.1.163,Vietnam,Ho Chi Minh City,Viettel Group
113.179.144.97,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
42.113.121.126,Vietnam,Thai Nguyen,FPT Telecom Company
14.181.55.248,Vietnam,Lang Son,Vietnam Posts and Telecommunications Group
113.160.141.74,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
42.113.158.152,Vietnam,Hai Duong,FPT Telecom Company
42.113.198.184,Vietnam,Thai Nguyen,FPT Telecom Company
1.55.138.255,Vietnam,Hanoi,FPT Telecom Company
73.118.57.29,United States,Tallahassee,"Comcast Cable Communications, LLC"
42.118.236.45,Vietnam,Ho Chi Minh City,FPT Telecom Company
123.24.238.151,Vietnam,Son Tay,Vietnam Posts and Telecommunications Group
1.55.49.109,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.22.152.130,Vietnam,Hai An,FPT Telecom Company
14.163.161.15,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
118.71.192.136,Vietnam,Bac Ninh,FPT Telecom Company
14.229.30.38,Vietnam,Uong Bi,Vietnam Posts and Telecommunications Group
1.54.168.98,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.52.165.103,Vietnam,Bien Hoa,FPT Telecom Company
103.199.56.153,Vietnam,Ho Chi Minh City,MOBIFONE Corporation
135.23.231.184,Canada,Toronto,TekSavvy Solutions Inc.
73.7.59.150,United States,Calhoun,"Comcast Cable Communications, LLC"
113.175.189.20,Vietnam,Cam Pha Mines,Vietnam Posts and Telecommunications Group
115.72.9.4,Vietnam,Hanoi,Viettel Group
42.112.86.157,Vietnam,Ho Chi Minh City,FPT Telecom Company
176.251.52.64,United Kingdom,Ipswich,Sky UK Limited
125.214.48.193,Vietnam,Ca Mau,Viettel Group
14.247.151.111,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.113.199.128,Vietnam,Hanoi,FPT Telecom Company
42.115.249.240,Vietnam,Bac Ninh,FPT Telecom Company
123.17.122.216,Vietnam,Ha Tinh,Vietnam Posts and Telecommunications Group
113.22.195.102,Vietnam,Da Lat,FPT Telecom Company
42.113.154.6,Vietnam,Hai Duong,FPT Telecom Company
113.23.91.28,Vietnam,Hoa Binh,FPT Telecom Company
117.2.165.75,Vietnam,Da Nang,Viettel Group
14.228.33.42,Vietnam,Lai Chau,Vietnam Posts and Telecommunications Group
113.23.64.46,Vietnam,Haiphong,FPT Telecom Company
1.55.223.101,Vietnam,Vinh Yen,FPT Telecom Company
81.164.252.211,Belgium,Braine-le-Chateau,Telenet BVBA
171.252.138.188,Vietnam,Hanoi,Viettel Group
171.242.159.21,Vietnam,Thanh Hoa,Viettel Group
42.117.174.9,Vietnam,Hanoi,FPT Telecom Company
64.233.173.2,Japan,Tokyo,Google LLC
42.113.244.156,Vietnam,Hanoi,FPT Telecom Company
113.179.135.204,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
64.233.173.22,Japan,Tokyo,Google LLC
183.80.21.183,Vietnam,Ho Chi Minh City,FPT Telecom Company
118.70.181.189,Vietnam,Hanoi,FPT Telecom Company
58.187.212.7,Vietnam,Hanoi,FPT Telecom Company
42.114.22.242,Vietnam,Thu Dau Mot,FPT Telecom Company
123.16.41.152,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.23.24.27,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.23.48.10,Vietnam,Hanoi,FPT Telecom Company
113.179.166.213,Vietnam,Vinh,Vietnam Posts and Telecommunications Group
1.55.135.178,Vietnam,Thai Binh,FPT Telecom Company
42.119.43.251,Vietnam,Bac Giang,FPT Telecom Company
113.170.60.19,Vietnam,Can Tho,Vietnam Posts and Telecommunications Group
42.117.231.214,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.112.224.92,Vietnam,Sa Dec,FPT Telecom Company
42.114.134.57,Vietnam,Hanoi,FPT Telecom Company
42.114.132.79,Vietnam,Hanoi,FPT Telecom Company
66.249.82.113,Australia,Sydney,Google LLC
113.23.50.46,Vietnam,Hanoi,FPT Telecom Company
113.175.90.129,Vietnam,Thai Binh,Vietnam Posts and Telecommunications Group
42.118.57.45,Vietnam,Bien Hoa,FPT Telecom Company
116.87.225.111,Singapore,Singapore,StarHub Cable Vision Ltd
14.239.218.27,Vietnam,Thai Binh,Vietnam Posts and Telecommunications Group
58.187.168.110,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.55.223.198,Vietnam,Vinh Yen,FPT Telecom Company
171.249.126.198,Vietnam,Ho Chi Minh City,Viettel Group
42.112.235.49,Vietnam,Haiphong,FPT Telecom Company
1.52.122.23,Vietnam,Thai Nguyen,FPT Telecom Company
42.113.156.228,Vietnam,Hoa Binh,FPT Telecom Company
58.187.161.188,Vietnam,Hai Duong,FPT Telecom Company
42.113.88.23,Vietnam,Hanoi,FPT Telecom Company
103.7.38.125,Vietnam,Can Duoc,Vietnamobile Telecommunications Joint Stock Company
118.69.21.148,Vietnam,Ho Chi Minh City,FPT Telecom Company
171.233.222.102,Vietnam,Long Xuyen,Viettel Group
113.186.86.22,Vietnam,Vinh Yen,Vietnam Posts and Telecommunications Group
103.199.56.79,Vietnam,Ho Chi Minh City,MOBIFONE Corporation
14.189.9.154,Vietnam,Ha Tinh,Vietnam Posts and Telecommunications Group
66.249.82.117,Australia,Sydney,Google LLC
123.27.204.8,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
117.2.161.57,Vietnam,Da Nang,Viettel Group
113.161.55.162,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
42.113.159.204,Vietnam,Bac Ninh,FPT Telecom Company
113.22.223.168,Vietnam,Ho Chi Minh City,FPT Telecom Company
27.67.140.53,Vietnam,Haiphong,Viettel Group
14.186.29.147,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
14.182.76.11,Vietnam,Uong Bi,Vietnam Posts and Telecommunications Group
1.52.237.35,Vietnam,Thuan An,FPT Telecom Company
14.190.114.88,Vietnam,Ha Long,Vietnam Posts and Telecommunications Group
1.55.49.112,Vietnam,Ho Chi Minh City,FPT Telecom Company
171.241.235.183,Vietnam,Hanoi,Viettel Group
42.114.19.198,Vietnam,Ho Chi Minh City,FPT Telecom Company
27.67.140.249,Vietnam,Haiphong,Viettel Group
113.180.34.169,Vietnam,Tan Binh,Vietnam Posts and Telecommunications Group
1.53.17.147,Vietnam,Phuoc Lap,FPT Telecom Company
113.185.14.243,Vietnam,Ho Chi Minh City,Vietnam Posts and Telecommunications Group
1.54.33.195,Vietnam,Hai Duong,FPT Telecom Company
1.55.227.17,Vietnam,Vinh Yen,FPT Telecom Company
42.112.232.13,Vietnam,Haiphong,FPT Telecom Company
113.183.174.241,Vietnam,Cao Lanh,Vietnam Posts and Telecommunications Group
14.231.232.17,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.119.101.24,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.117.156.138,Vietnam,Hanoi,FPT Telecom Company
1.55.227.94,Vietnam,Vinh Yen,FPT Telecom Company
58.187.67.62,Vietnam,Vinh Yen,FPT Telecom Company
183.80.67.99,Vietnam,My Tho,FPT Telecom Company
1.55.6.238,Vietnam,Hanoi,FPT Telecom Company
42.112.229.170,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.112.248.221,Vietnam,Hanoi,FPT Telecom Company
103.7.38.123,Vietnam,Can Duoc,Vietnamobile Telecommunications Joint Stock Company
66.220.149.11,United States,Menlo Park,"Facebook, Inc."
42.118.254.62,Vietnam,Hue,FPT Telecom Company
66.249.88.187,United States,Mountain View,Google LLC
171.240.151.117,Vietnam,Ho Chi Minh City,Viettel Group
113.182.118.235,Vietnam,Can Duoc,Vietnam Posts and Telecommunications Group
113.169.120.122,Vietnam,Saint James,Vietnam Posts and Telecommunications Group
1.54.11.218,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.161.232.170,Vietnam,My Tho,Vietnam Posts and Telecommunications Group
183.80.20.165,Vietnam,Ho Chi Minh City,FPT Telecom Company
115.72.131.95,Vietnam,Duong Dong,Viettel Group
42.113.157.87,Vietnam,Hanoi,FPT Telecom Company
42.114.39.196,Vietnam,Nam Dinh,FPT Telecom Company
58.187.12.230,Vietnam,Bac Ninh,FPT Telecom Company
42.117.202.41,Vietnam,Cao Lanh,FPT Telecom Company
183.80.67.185,Vietnam,My Tho,FPT Telecom Company
59.153.245.91,Vietnam,Nha Trang,MOBIFONE Corporation
118.69.183.59,Vietnam,Ho Chi Minh City,FPT Telecom Company
123.16.76.154,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
103.199.32.67,Vietnam,Phan Thiet,MOBIFONE Corporation
58.187.29.35,Vietnam,Bac Giang,FPT Telecom Company
42.113.191.185,Vietnam,Nha Trang,FPT Telecom Company
180.93.64.208,Vietnam,Ho Chi Minh City,Saigon Postel Corporation
42.119.180.80,Vietnam,Hanoi,FPT Telecom Company
14.188.129.162,Vietnam,Cao Bang,Vietnam Posts and Telecommunications Group
14.183.95.100,Vietnam,Phan Rang-Thap Cham,Vietnam Posts and Telecommunications Group
66.249.82.89,Australia,Sydney,Google LLC
118.68.192.212,Vietnam,Hanoi,FPT Telecom Company
42.113.195.144,Vietnam,Hai Duong,FPT Telecom Company
118.70.13.75,Vietnam,Hanoi,FPT Telecom Company
222.253.253.130,Vietnam,Tan An,Vietnam Posts and Telecommunications Group
42.117.207.148,Vietnam,Ho Chi Minh City,FPT Telecom Company
103.199.32.155,Vietnam,Phan Thiet,MOBIFONE Corporation
113.177.61.205,Vietnam,Thai Hoa,Vietnam Posts and Telecommunications Group
58.187.12.233,Vietnam,Bac Ninh,FPT Telecom Company
24.0.126.76,United States,Cherry Hill,"Comcast Cable Communications, LLC"
42.117.65.211,Vietnam,Bien Hoa,FPT Telecom Company
116.108.215.244,Vietnam,Ho Chi Minh City,Viettel Group
64.233.173.6,Japan,Tokyo,Google LLC
123.18.84.151,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
173.252.95.5,United States,Chicago,"Facebook, Inc."
171.240.131.101,Vietnam,Ho Chi Minh City,Viettel Group
1.55.41.65,Vietnam,Ho Chi Minh City,FPT Telecom Company
171.250.253.181,Vietnam,Uyen Hung,Viettel Group
42.117.219.249,Vietnam,Hanoi,FPT Telecom Company
113.165.166.204,Vietnam,Bao Loc,Vietnam Posts and Telecommunications Group
118.71.120.75,Vietnam,Hanoi,FPT Telecom Company
27.64.242.153,Vietnam,Long Xuyen,Viettel Group
118.68.71.146,Vietnam,Ho Chi Minh City,FPT Telecom Company
103.199.57.58,Vietnam,Hanoi,MOBIFONE Corporation
66.249.82.81,Australia,Sydney,Google LLC
118.68.153.33,Vietnam,Hanoi,FPT Telecom Company
58.186.123.137,Vietnam,Bac Giang,FPT Telecom Company
123.27.172.250,Vietnam,Viet Tri,Vietnam Posts and Telecommunications Group
1.54.5.47,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.23.24.254,Vietnam,Ho Chi Minh City,FPT Telecom Company
123.16.61.248,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
171.237.78.139,Vietnam,Hanoi,Viettel Group
59.153.243.161,Vietnam,Vinh,MOBIFONE Corporation
42.112.87.255,Vietnam,Ho Chi Minh City,FPT Telecom Company
100.82.133.182,"","",""
14.249.74.249,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
183.81.93.46,Vietnam,Hanoi,FPT Telecom Company
14.249.201.176,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
42.116.124.98,Vietnam,Hanoi,FPT Telecom Company
64.233.173.19,Japan,Tokyo,Google LLC
222.254.247.249,Vietnam,Phu Quoc Island,Vietnam Posts and Telecommunications Group
14.236.147.23,Vietnam,Ninh Hoa,Vietnam Posts and Telecommunications Group
42.114.34.206,Vietnam,Haiphong,FPT Telecom Company
103.199.32.7,Vietnam,Phan Thiet,MOBIFONE Corporation
42.113.173.201,Vietnam,Lang Son,FPT Telecom Company
118.68.11.192,Vietnam,Ho Chi Minh City,FPT Telecom Company
125.214.59.239,Vietnam,Phu Khuong,Viettel Group
42.114.30.106,Vietnam,Haiphong,FPT Telecom Company
116.99.70.112,Vietnam,Hanoi,Viettel Group
118.69.95.145,Vietnam,Da Nang,FPT Telecom Company
113.167.69.111,Vietnam,Bac Ninh,Vietnam Posts and Telecommunications Group
123.17.11.143,Vietnam,Tuyen Quang,Vietnam Posts and Telecommunications Group
66.249.82.187,Australia,Sydney,Google LLC
14.177.209.208,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
58.187.162.235,Vietnam,Hanoi,FPT Telecom Company
171.224.255.250,Vietnam,Bac Ninh,Viettel Group
123.25.238.183,Vietnam,Vinh Long,Vietnam Posts and Telecommunications Group
142.120.60.20,Canada,Ottawa,Bell Canada
113.161.6.128,Vietnam,Tam Ky,Vietnam Posts and Telecommunications Group
27.3.65.115,Vietnam,Hanoi,SaiGon Tourist Cable Television
42.118.76.211,Vietnam,Hoa Binh,FPT Telecom Company
118.69.134.139,Vietnam,Ho Chi Minh City,FPT Telecom Company
183.81.75.152,Vietnam,Thai Binh,FPT Telecom Company
42.113.102.189,Vietnam,Hanoi,FPT Telecom Company
103.199.33.24,Vietnam,Ho Chi Minh City,MOBIFONE Corporation
117.2.6.63,Vietnam,Da Nang,Viettel Group
42.112.116.108,Vietnam,Hanoi,FPT Telecom Company
42.112.238.104,Vietnam,Hanoi,FPT Telecom Company
1.55.199.101,Vietnam,Ho Chi Minh City,FPT Telecom Company
59.153.242.145,Vietnam,Vinh,MOBIFONE Corporation
1.54.49.218,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.112.227.71,Vietnam,Nha Trang,FPT Telecom Company
173.252.79.8,United States,Menlo Park,"Facebook, Inc."
27.67.132.76,Vietnam,Thai Binh,Viettel Group
1.54.211.202,Vietnam,Haiphong,FPT Telecom Company
58.186.176.84,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.230.76.173,Vietnam,Dong Xoai,Vietnam Posts and Telecommunications Group
42.119.77.123,Vietnam,Hanoi,FPT Telecom Company
212.35.18.183,Switzerland,Spreitenbach,Flashcable Network
14.248.71.127,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.167.110.121,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
14.170.198.211,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
115.74.209.32,Vietnam,Ca Mau,Viettel Group
14.242.129.0,Vietnam,Tra Vinh,Vietnam Posts and Telecommunications Group
113.189.135.68,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
66.249.82.179,Australia,Sydney,Google LLC
14.239.253.143,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
42.114.39.166,Vietnam,Nam Dinh,FPT Telecom Company
42.112.225.151,Vietnam,Long Xuyen,FPT Telecom Company
92.116.116.146,Germany,Strausberg-Vorstadt,1&1 Versatel Deutschland GmbH
14.235.167.115,Vietnam,Hung Yen,Vietnam Posts and Telecommunications Group
27.77.18.191,Vietnam,Hanoi,Viettel Group
171.228.64.66,Vietnam,Hoa Binh,Viettel Group
27.67.187.91,Vietnam,Hanoi,Viettel Group
42.113.199.130,Vietnam,Hanoi,FPT Telecom Company
42.112.75.11,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.22.53.167,Vietnam,Haiphong,FPT Telecom Company
73.109.84.78,United States,Seattle,"Comcast Cable Communications, LLC"
118.69.93.76,Vietnam,Ca Mau,FPT Telecom Company
67.172.116.86,United States,Roseville,"Comcast Cable Communications, LLC"
113.23.91.72,Vietnam,Hoa Binh,FPT Telecom Company
58.187.167.137,Vietnam,Hai Duong,FPT Telecom Company
58.187.12.128,Vietnam,Bac Ninh,FPT Telecom Company
123.18.55.202,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
113.167.115.125,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
42.118.29.136,Vietnam,Bac Giang,FPT Telecom Company
14.228.126.179,Vietnam,Vinh Yen,Vietnam Posts and Telecommunications Group
113.210.184.104,Malaysia,Tawao,Maxis Broadband Sdn Bhd
1.54.8.4,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.117.219.142,Vietnam,Hanoi,FPT Telecom Company
42.119.101.40,Vietnam,Ho Chi Minh City,FPT Telecom Company
42.114.34.87,Vietnam,Haiphong,FPT Telecom Company
113.169.223.179,Vietnam,Tan An,Vietnam Posts and Telecommunications Group
183.81.19.229,Vietnam,Hanoi,FPT Telecom Company
113.174.239.153,Vietnam,Pleiku,Vietnam Posts and Telecommunications Group
103.7.36.24,Vietnam,Hanoi,Vietnamobile Telecommunications Joint Stock Company
42.118.218.84,Vietnam,Hanoi,FPT Telecom Company
113.174.105.132,Vietnam,Sa Dec,Vietnam Posts and Telecommunications Group
42.118.214.182,Vietnam,Ho Chi Minh City,FPT Telecom Company
58.187.125.99,Vietnam,Da Nang,FPT Telecom Company
118.71.196.154,Vietnam,Thanh Hoa,FPT Telecom Company
42.118.29.74,Vietnam,Bac Giang,FPT Telecom Company
42.119.146.25,Vietnam,Can Tho,FPT Telecom Company
171.249.48.134,Vietnam,Bien Hoa,Viettel Group
42.116.108.175,Vietnam,Hanoi,FPT Telecom Company
183.81.40.40,Vietnam,Haiphong,FPT Telecom Company
125.160.195.234,Indonesia,Malang,PT Telkom Indonesia
27.75.144.7,Vietnam,Tra Vinh,Viettel Group
113.179.199.162,Vietnam,Lai Chau,Vietnam Posts and Telecommunications Group
183.80.21.47,Vietnam,Ho Chi Minh City,FPT Telecom Company
1.55.48.22,Vietnam,Nha Trang,FPT Telecom Company
113.160.202.100,Vietnam,Ninh Binh,Vietnam Posts and Telecommunications Group
42.117.202.249,Vietnam,Cao Lanh,FPT Telecom Company
42.118.29.93,Vietnam,Bac Giang,FPT Telecom Company
171.245.28.151,Vietnam,Haiphong,Viettel Group
14.244.175.105,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
14.233.202.0,Vietnam,Quang Ngai,Vietnam Posts and Telecommunications Group
14.171.52.120,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group
58.187.66.49,Vietnam,Lang Son,FPT Telecom Company
1.52.127.132,Vietnam,Tu Son,FPT Telecom Company
42.114.21.141,Vietnam,Ho Chi Minh City,FPT Telecom Company
113.179.49.158,Vietnam,Haiphong,Vietnam Posts and Telecommunications Group
42.114.132.254,Vietnam,Hanoi,FPT Telecom Company
1.55.216.173,Vietnam,Bac Ninh,FPT Telecom Company
58.187.113.67,Vietnam,Hanoi,FPT Telecom Company
113.169.254.243,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
113.23.62.27,Vietnam,Phan Rang-Thap Cham,FPT Telecom Company
14.228.55.34,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
1.52.124.203,Vietnam,Thanh Hoa,FPT Telecom Company
42.118.228.247,Vietnam,Ho Chi Minh City,FPT Telecom Company
14.229.168.249,Vietnam,Bac Giang,Vietnam Posts and Telecommunications Group
1.55.84.255,Vietnam,Thu Dau Mot,FPT Telecom Company
14.231.153.253,Vietnam,Hanoi,Vietnam Posts and Telecommunications Group
14.228.124.28,Vietnam,Thanh Hoa,Vietnam Posts and Telecommunications Group
118.69.59.68,Vietnam,Hanoi,FPT Telecom Company
